0,'Age','Age','Age in years'
1,'Gender','Gender','Sex (0 = male; 1 = female)'
2,'Height','Height','Height in centimeters'
3,'Weight','Weight','Weight in kilograms'
4,'QRS duration','QRS duration','Average of QRS duration in msec.'
5,'P-R interval','P-R interval','Average duration between onset of P and Q waves in msec.'
6,'Q-T interval','Q-T interval','Average duration between onset of Q and offset of T waves in msec.'
7,'T interval','T interval','Average duration of T wave in msec.'
8,'P interval','P interval','Average duration of P wave in msec.'
9,'QRS','QRS','Vector angles in degrees on front plane of: QRS'
10,'T','T','Vector angles in degrees on front plane of: T'
11,'P','P','Vector angles in degrees on front plane of: P'
12,'QRST','QRST','Vector angles in degrees on front plane of: QRST'
13,'J','J','Vector angles in degrees on front plane of: J'
14,'Heart rate','Heart rate','Number of heart beats per minute'
15,'DI: Q wave (msec)','DI: Q wave (msec)','Of channel DI: Average width of Q wave, in msec.'
16,'DI: R wave (msec)','DI: R wave (msec)','Of channel DI: Average width of R wave, in msec.'
17,'DI: S wave (msec)','DI: S wave (msec)','Of channel DI: Average width of S wave, in msec.'
18,'DI: R'' wave (msec)','DI: R'' wave (msec)','Of channel DI: Average width of R'' wave, in msec.'
19,'DI: S'' wave (msec)','DI: S'' wave (msec)','Of channel DI: Average width of S'' wave, in msec.'
20,'DI: Intrinsic deflections','DI: Intrinsic deflections','Of channel DI: Number of intrinsic deflections'
21,'DI: Exist ragged R wave','DI: Exist ragged R wave','Of channel DI: Existence of ragged R wave'
22,'DI: Exist diphasic derivation R wave','DI: Exist diphasic derivation R wave','Of channel DI: Existence of diphasic derivation of R wave'
23,'DI: Exist ragged P wave','DI: Exist ragged P wave','Of channel DI: Existence of ragged P wave'
24,'DI: Exist diphasic derivation P wave','DI: Exist diphasic derivation P wave','Of channel DI: Existence of diphasic derivation of P wave'
25,'DI: Exist ragged T wave','DI: Exist ragged T wave','Of channel DI: Existence of ragged T wave'
26,'DI: Exist diphasic derivation T wave','DI: Exist diphasic derivation T wave','Of channel DI: Existence of diphasic derivation of T wave'
27,'DII: Q wave (msec)','DII: Q wave (msec)','Of channel DII: Average width of Q wave, in msec.'
28,'DII: R wave (msec)','DII: R wave (msec)','Of channel DII: Average width of R wave, in msec.'
29,'DII: S wave (msec)','DII: S wave (msec)','Of channel DII: Average width of S wave, in msec.'
30,'DII: R'' wave (msec)','DII: R'' wave (msec)','Of channel DII: Average width of R'' wave, in msec.'
31,'DII: S'' wave (msec)','DII: S'' wave (msec)','Of channel DII: Average width of S'' wave, in msec.'
32,'DII: Intrinsic deflections','DII: Intrinsic deflections','Of channel DII: Number of intrinsic deflections'
33,'DII: Exist ragged R wave','DII: Exist ragged R wave','Of channel DII: Existence of ragged R wave'
34,'DII: Exist diphasic derivation R wave','DII: Exist diphasic derivation R wave','Of channel DII: Existence of diphasic derivation of R wave'
35,'DII: Exist ragged P wave','DII: Exist ragged P wave','Of channel DII: Existence of ragged P wave'
36,'DII: Exist diphasic derivation P wave','DII: Exist diphasic derivation P wave','Of channel DII: Existence of diphasic derivation of P wave'
37,'DII: Exist ragged T wave','DII: Exist ragged T wave','Of channel DII: Existence of ragged T wave'
38,'DII: Exist diphasic derivation T wave','DII: Exist diphasic derivation T wave','Of channel DII: Existence of diphasic derivation of T wave'
39,'DIII: Q wave (msec)','DIII: Q wave (msec)','Of channel DIII: Average width of Q wave, in msec.'
40,'DIII: R wave (msec)','DIII: R wave (msec)','Of channel DIII: Average width of R wave, in msec.'
41,'DIII: S wave (msec)','DIII: S wave (msec)','Of channel DIII: Average width of S wave, in msec.'
42,'DIII: R'' wave (msec)','DIII: R'' wave (msec)','Of channel DIII: Average width of R'' wave, in msec.'
43,'DIII: S'' wave (msec)','DIII: S'' wave (msec)','Of channel DIII: Average width of S'' wave, in msec.'
44,'DIII: Intrinsic deflections','DIII: Intrinsic deflections','Of channel DIII: Number of intrinsic deflections'
45,'DIII: Exist ragged R wave','DIII: Exist ragged R wave','Of channel DIII: Existence of ragged R wave'
46,'DIII: Exist diphasic derivation R wave','DIII: Exist diphasic derivation R wave','Of channel DIII: Existence of diphasic derivation of R wave'
47,'DIII: Exist ragged P wave','DIII: Exist ragged P wave','Of channel DIII: Existence of ragged P wave'
