0,'Date','Date','Match date'
1,'Home team','Home team','Home team'
2,'Away team','Away team','Away team'
3,'Home goals','Home goals','Goals scored by home team'
4,'Away goals','Away goals','Goals scored by away team'
5,'Half time home goals','Half time home goals','Goals scored by home team at half time'
6,'Half time away goals','Half time away goals','Goals scored by away team at half time'
7,'Half time result','Half time result','Half time result (Home / Away / Draw)'
8,'Home shots','Home shots','Shots made by home team'
9,'Away shots','Away shots','Shots made by away team'
10,'Home shots on target','Home shots on target','Shots made by home team on target'
11,'Away shots on target','Away shots on target','Shots made by away team on target'
12,'Home fouls committed','Home fouls committed','Fouls committed by home team'
13,'Away fouls committed','Away fouls committed','Fouls commited by away team'
14,'Home corners','Home corners','Corners thrown by home team'
15,'Away corners','Away corners','Corners thrown by away team'
16,'Home yellow cards','Home yellow cards','Yellow cards received by home team'
17,'Away yellow cards','Away yellow cards','Yellow cards received by away team'
18,'Home red cards','Home red cards','Red cards received by home team'
19,'Away red cards','Away red cards','Red cards received by away team'
20,'Home Turnover (£m)','Home Turnover (£m)','Home Turnover (£m)'
21,'Home Gate and Matchday income (£m)','Home Gate and Matchday income (£m)','Home Gate and Matchday income (£m)'
22,'Home TV and Broadcasting (£m)','Home TV and Broadcasting (£m)','Home TV and Broadcasting (£m)'
23,'Home Commercial income (£m)','Home Commercial income (£m)','Home Commercial income (£m)'
24,'Away Turnover (£m)','Away Turnover (£m)','Away Turnover (£m)'
25,'Away Gate and Matchday income (£m)','Away Gate and Matchday income (£m)','Away Gate and Matchday income (£m)'
26,'Away TV and Broadcasting (£m)','Away TV and Broadcasting (£m)','Away TV and Broadcasting (£m)'
27,'Away Commercial income (£m)','Away Commercial income (£m)','Away Commercial income (£m)'
28,'Winner','Winner','Winner (Home / Away / Draw)'
29,'Winner Team','Winner Team','Winner Team'
