Date,Home shots,Away shots,Home shots on target,Away shots on target,Home fouls commited,Away fouls commited,Home corners,Away corners,Home yellow cards,Away yellow cards,Home red cards,Away red cards,Home Turnover (£m),Home Gate and Matchday income (£m),Home TV and Broadcasting (£m),Home Commercial income (£m),Away Turnover (£m),Away Gate and Matchday income (£m),Away TV and Broadcasting (£m),Away Commercial income (£m),Winner
2011-08-13,16,13,8,4,14,10,12,6,4,2,0,0,54,6,42,9,60,8,42,5,Away
2011-08-13,13,7,9,1,10,18,2,3,2,4,0,0,79,11,51,,80,20,47,14,Draw
2011-08-13,11,15,4,6,17,12,6,3,4,4,0,0,169,42,63,64,78,14,47,8,Draw
2011-08-13,6,9,1,4,9,11,2,5,3,5,0,1,93,24,56,14,245,95,85,34,Draw
2011-08-13,13,13,7,7,9,16,3,2,1,2,1,0,64,,,,65,8,43,,Away
2011-08-13,18,13,11,3,11,8,7,3,2,2,0,0,53,4,46,,75,11,50,14,Draw
2011-08-14,6,20,3,11,12,12,4,6,2,2,0,0,71,8,46,,261,78,113,70,Draw
2011-08-14,14,11,8,5,16,9,6,5,3,2,0,0,67,8,50,9,320,99,104,118,Away
2011-08-15,26,8,19,5,9,2,7,4,0,0,0,0,231,22,88,121,65,,,4,Home
2011-08-20,10,13,6,8,11,6,9,5,2,2,1,0,245,95,85,34,169,42,63,64,Away
2011-08-20,9,10,6,6,9,13,5,4,3,0,0,0,80,20,47,14,54,6,42,9,Home
2011-08-20,22,6,12,4,12,8,7,4,2,4,0,0,261,78,113,70,67,8,50,9,Home
2011-08-20,14,4,7,3,12,9,2,1,1,1,0,0,81,17,53,11,64,,,,Away
2011-08-20,15,12,5,10,17,7,7,6,3,3,1,0,78,14,47,8,93,24,56,14,Away
2011-08-20,12,10,6,4,8,18,7,7,0,3,0,0,65,,,4,53,4,46,,Draw
2011-08-21,6,17,4,9,19,14,7,8,2,0,0,0,65,8,43,,231,22,88,121,Away
2011-08-21,9,15,7,5,13,12,3,6,0,2,1,0,75,11,50,14,71,8,46,,Draw
2011-08-21,17,8,7,4,7,10,7,8,2,2,0,0,60,8,42,5,79,11,51,,Home
2011-08-22,27,20,21,12,12,9,11,3,1,2,0,0,320,99,104,118,144,21,59,9,Home
2011-08-27,15,3,5,2,10,9,11,8,1,3,0,0,80,20,47,14,60,8,42,5,Draw
2011-08-27,14,9,6,4,17,13,5,4,5,2,0,0,54,6,42,9,81,17,53,11,Away
2011-08-27,16,9,8,6,17,14,8,6,2,2,0,1,261,78,113,70,75,11,50,14,Home
2011-08-27,17,7,9,4,5,7,12,6,0,2,0,0,169,42,63,64,65,8,43,,Home
2011-08-27,15,12,6,8,7,10,7,4,1,1,0,0,65,,,4,78,14,47,8,Draw
2011-08-27,13,19,10,9,13,8,8,7,2,0,0,0,53,4,46,,64,,,,Home
2011-08-28,25,19,15,13,9,7,3,5,2,3,0,1,320,99,104,118,245,95,85,34,Home
2011-08-28,13,16,9,9,19,8,6,6,2,1,0,0,93,24,56,14,79,11,51,,Home
2011-08-28,15,22,10,12,11,9,10,5,2,4,0,0,144,21,59,9,231,22,88,121,Away
2011-08-28,16,7,7,1,9,12,5,1,0,0,0,0,67,8,50,9,71,8,46,,Away
2011-09-10,18,10,8,5,10,7,4,5,3,2,0,0,245,95,85,34,65,,,4,Home
2011-09-10,20,13,13,9,14,1,5,7,2,0,0,0,65,8,43,,320,99,104,118,Away
2011-09-10,17,7,10,3,13,11,8,0,1,1,0,0,81,17,53,11,80,20,47,14,Draw
2011-09-10,23,9,10,5,6,9,8,3,0,0,0,0,231,22,88,121,53,4,46,,Home
2011-09-10,3,20,1,11,12,13,2,12,0,1,0,0,71,8,46,,169,42,63,64,Home
2011-09-10,14,16,7,8,7,3,4,7,1,1,0,0,78,14,47,8,261,78,113,70,Away
2011-09-10,10,17,6,11,5,12,4,10,3,2,0,0,60,8,42,5,144,21,59,9,Away
2011-09-11,13,10,8,5,7,12,11,2,3,1,0,0,79,11,51,,54,6,42,9,Draw
2011-09-11,17,14,5,9,10,11,1,3,1,2,0,0,75,11,50,14,67,8,50,9,Away
2011-09-12,14,8,5,3,10,15,6,4,1,3,0,0,64,,,,93,24,56,14,Draw
2011-09-17,10,21,2,13,13,10,4,9,1,1,0,0,80,20,47,14,93,24,56,14,Draw
2011-09-17,10,24,5,16,14,9,2,13,2,1,0,0,54,6,42,9,245,95,85,34,Home
2011-09-17,7,11,7,5,8,8,6,9,3,1,1,0,65,8,43,,75,11,50,14,Away
2011-09-17,17,9,10,4,14,8,4,9,2,1,0,0,81,17,53,11,53,4,46,,Home
2011-09-17,7,13,5,8,4,9,2,8,1,2,0,0,65,,,4,67,8,50,9,Home
2011-09-17,13,17,6,12,15,13,4,8,2,3,0,0,60,8,42,5,64,,,,Away
2011-09-18,14,18,11,11,10,9,6,9,1,1,0,0,79,11,51,,231,22,88,121,Draw
2011-09-18,12,20,7,9,11,12,4,10,2,3,0,0,320,99,104,118,261,78,113,70,Home
2011-09-18,8,9,7,5,15,12,6,5,1,2,0,0,78,14,47,8,71,8,46,,Home
2011-09-18,24,5,16,2,10,9,4,1,1,4,0,2,144,21,59,9,169,42,63,64,Home
2011-09-24,23,3,14,3,7,9,9,2,0,1,0,1,245,95,85,34,65,8,43,,Home
2011-09-24,15,5,7,4,15,11,1,6,3,3,1,0,261,78,113,70,65,,,4,Home
2011-09-24,14,11,6,6,15,6,7,2,3,4,0,0,169,42,63,64,60,8,42,5,Home
2011-09-24,18,7,8,3,9,13,7,5,1,5,0,0,231,22,88,121,81,17,53,11,Home
2011-09-24,19,4,8,1,6,16,4,2,0,4,0,1,93,24,56,14,54,6,42,9,Home
2011-09-24,14,13,8,9,10,3,8,8,1,0,0,0,71,8,46,,320,99,104,118,Draw
2011-09-24,8,18,5,9,6,14,1,1,0,3,0,0,67,8,50,9,79,11,51,,Draw
